entity,year,total_pop,continent,kg_apple_prod_capita_year,phd_awards,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,fruit_consumed_kg_pc_year,gdp_capita_year,life_expectancy,deaths_neoplasms,daly,percent_prevalence_depressive_disorders
Belarus,2001,9811399,Europe,16.99,NA,191.92,161.92,939.24,1752.92,94.256,8477.08401148315,67.458,21416.51887868254,38876.12106817457,4.18323934754
Belarus,2002,9745932,Europe,26.72,NA,189.76,155.48,921.69,1714.07,149.2478,8961.64111959338,67.612,21845.534353025243,39830.03312210322,4.18450869835
Belarus,2003,9679235,Europe,28.22,NA,184.8,156.72,844.02,1635.46,140.8086,9660.19368845286,67.809,21121.69113089841,38695.893262201185,4.183275968829999
Belarus,2004,9616628,Europe,26.56,NA,183.6,165.24,857.43,1694.73,144.39800000000002,10839.9562728165,68.044,20966.412130293254,37896.40687635076,4.18050433005
Belarus,2005,9562083,Europe,23.01,NA,195.52,160.88,925.38,1705.22,146.3982,11940.1865961058,68.327,21413.936057936695,38088.86051882703,4.17602981518
Belarus,2006,9516884,Europe,25.32,NA,200.6,163.36,1010.88,1709.16,183.7992,13214.87158024,68.678,20743.473093121785,36842.6249346348,4.1664440118499995
Belarus,2013,9423502,Europe,26.51,NA,219.84,155.44,1168.56,1706.16,196.732,18760.16352402,72.659,18865.20271144304,30873.874080535075,4.059204777650001
Belarus,2015,9439424,Europe,NA,NA,NA,NA,NA,NA,182.62100000000004,18307.5196678406,73.652,18166.4162631655,28880.101460560352,4.03880111366
Belarus,2017,9450233,Europe,NA,NA,NA,NA,NA,NA,190.019,18280.1989190642,74.34,18557.941708721675,28326.7731302896,4.02222608312
Belgium,1990,10006545,Europe,NA,NA,255.16,160.28,1365.48,1732.08,NA,35506.2392661362,75.862,28915.138369955912,25402.04625482545,3.63173783149
Belgium,1991,10039450,Europe,NA,NA,261.64,160.36,1409.13,1728.87,NA,36022.9870333569,76.085,28964.4012481962,25159.5277737121,3.62754267316
Belgium,1992,10078098,Europe,NA,NA,262.52,166.04,1418.94,1801.5,NA,36426.2880979906,76.299,29390.56200303159,25002.452285417017,3.6283147582
Belgium,1993,10118684,Europe,NA,NA,266,161.52,1425.24,1745.24,NA,35935.2618401675,76.507,29532.93265352885,24835.57795273064,3.62928019552
Belgium,1994,10155909,Europe,NA,NA,257.68,158.92,1418.76,1735.64,NA,36980.7331576015,76.709,29662.643754043267,24641.620499617587,3.63364572239
Belgium,1995,10186304,Europe,NA,NA,257.64,155.28,1420.47,1720.61,NA,37783.418562422,76.907,29704.796861043687,24282.713601552416,3.63736878859
Belgium,1996,10208265,Europe,NA,NA,252,155.32,1433.34,1750.34,NA,38207.9791308757,77.101,29160.673214390223,23789.92846812239,3.65172622251
Belgium,1997,10223785,Europe,NA,NA,251,158.24,1448.19,1807.57,NA,39561.6072371458,77.292,29131.902061180055,23613.310822293824,3.67860583883
Belgium,1998,10237298,Europe,NA,NA,256.48,157.96,1437.66,1801.9,NA,40251.6898056164,77.481,28935.134965261863,23419.15492641038,3.71598318644
Belgium,1999,10255161,Europe,NA,NA,264.56,159.12,1434.87,1811.45,NA,41582.292537444,77.672,28678.028653800768,23267.027127677015,3.7514346168
Belgium,2000,10282046,Europe,31.23,NA,233.96,152.36,1453.77,1868.91,199.44460000000004,43023.30716339,77.867,28567.619574365395,23213.499523994044,3.78613871536
Belgium,2001,10319026,Europe,28.36,NA,251.92,151.4,1484.46,1859.22,192.4576,43347.0501969365,78.071,28374.498632921215,22945.127101568825,3.82088309145
Belgium,2002,10364879,Europe,22.82,NA,247.6,154.96,1492.29,1854.15,194.0194,43889.7485927091,78.285,28503.28267660546,22727.57204215383,3.85991490535
Belgium,2003,10419029,Europe,28.23,NA,240,157.88,1458.54,1860.58,203.8286,44160.0566799357,78.509,28176.28696607491,22429.943237607957,3.900359671
Belgium,2004,10480118,Europe,30.84,NA,240.12,156.88,1447.11,1877.89,237.5854,45539.5854609401,78.74,28032.225732214927,21977.020061374333,3.93503174826
Belgium,2005,10546885,Europe,30.42,NA,241.96,155.08,1470.06,1848.9,191.60820000000004,46341.2896407062,78.975,28376.138832708883,21818.477233592035,3.96870500777
Belgium,2006,10619484,Europe,36.67,NA,243.04,157.44,1472.58,1842.94,238.90060000000005,47211.6639573888,79.211,28131.32205448183,21453.310502909782,4.0001562239399995
Belgium,2007,10697576,Europe,32.54,NA,248.24,156.48,1486.8,1821.48,230.434,48589.4600517703,79.441,28935.36087623205,21478.13043537144,4.033785868140001
Belgium,2008,10778764,Europe,30.92,NA,235.96,157.56,1461.24,1847.24,247.559,48422.5782305146,79.662,29694.767614173375,21377.217242684164,4.06748498021
Belgium,2009,10859934,Europe,25.42,NA,224.16,160.28,1434.69,1877.87,213.9118,47063.8790649801,79.873,30165.419391226478,21149.887704220753,4.09109576729
Belgium,2010,10938735,Europe,20.28,NA,228.12,159.56,1451.43,1867.89,193.6084,47971.6303134944,80.072,30628.516609028717,20923.355836148658,4.10186510113
Belgium,2011,11013860,Europe,21.03,NA,225.28,161,1509.3,1824.42,163.76980000000003,48153.9390923805,80.261,30952.56554087031,20804.93591518478,4.10408840734
Belgium,2012,11085355,Europe,23.13,NA,233.68,162.12,1454.04,1865.16,169.03060000000002,48209.991519122,80.444,31360.925771893,20686.311866136104,4.1063562214600005
Belgium,2013,11154008,Europe,24.03,NA,232.48,165.88,1460.88,1873.76,195.5538,48203.6526833001,80.622,31434.07951940792,20418.94742862167,4.11006179718
Belgium,2014,11221225,Europe,NA,NA,NA,NA,NA,NA,143.27460000000002,48747.6770466387,80.797,30838.18379463343,19996.095556695316,4.11047190159
Belgium,2015,11287931,Europe,NA,NA,NA,NA,NA,NA,448.1818,49455.4413365318,80.969,31240.653571572224,19910.44664884701,4.1104522468599995
Belgium,2016,11354407,Europe,NA,NA,NA,NA,NA,NA,327.5944,49828.9629137518,81.139,30754.45780050215,19635.237245155746,4.1095512464
Belgium,2017,11419752,Europe,NA,NA,NA,NA,NA,NA,231.7218,50442.2705419623,81.305,30781.958429741488,19465.35103158228,4.10918615476
Belize,1990,187554,North_Ameria,0.63,NA,115.2,146.68,585.45,1636.67,729.5250000000001,4854.98936338819,71.242,93.78120153504976,33336.85726500501,2.71749724244
Belize,1991,191136,North_Ameria,0.2,NA,99.24,153.64,597.24,1670.88,630.748,5310.15119163882,70.996,94.87862076014696,32859.70233815594,2.72555256403
Belize,1992,194324,North_Ameria,5.74,NA,101.96,162.52,655.38,1787.14,827.0142000000001,5852.84546198373,70.662,97.32939161479302,32710.277653674497,2.7358033269799997
Belize,1993,197625,North_Ameria,3.32,NA,103.24,160.76,636.93,1789.07,749.9106,6116.26002780321,70.268,101.01847831645578,32713.050418641047,2.74532903895
